outcome,label,coef_iv,se_iv,N_iv,pval_iv,coef_ste,se_ste,N_ste,pval_ste
alumni_ops_athletics,Alumni Athletic Operating Donations,131009.02169841202,45515.03334388591,637,0.0039973835812594505,191243.285153737,65035.37040533217,616,0.0032757277565805413
alum_non_athl_ops,Alumni Nonathletic Operating Donations,227178.22433714283,163969.49406455454,637,0.16590244589341197,-137412.0067572035,96077.43129488603,616,0.15265346004606237
alumni_total_giving,Total Alumni Donations,278767.4591400761,286962.20111670473,1264,0.33132765930079633,267378.5476727971,266945.7667571134,1258,0.316526562681131
vse_alum_giving_rate,Alumni Giving Rate,-0.00017608803960695565,0.0005126554937779109,1293,0.731235725514267,0.00019399572304938146,0.000703192188696814,1287,0.7826412602391692
usnews_academic_rep_new,Academic Reputation,0.0036292517217255877,0.0016222826827467223,669,0.025278067720032826,0.003377107611743389,0.0015620098028454282,650,0.03061608307067242
applicants,Applicants,134.37337243369413,54.998140041795004,533,0.014556261453317676,81.10254154138272,60.39533832765587,528,0.17931700229654257
acceptance_rate,Acceptance Rate,-0.3022192604034929,0.1432690275726628,967,0.03490551063580338,-0.3330558184217957,0.16107456956993474,979,0.038667113986528896
firsttime_outofstate,First-Time Out-of-State Enrollment,-0.5393164414601982,3.59115351619445,1038,0.8806232622801051,1.600344473820749,5.003413263542278,962,0.7490816270621411
first_time_instate,First-Time In-State Enrollment,14.85507203256861,6.32267572011443,1038,0.018799079949721742,12.570206111568417,6.440705073493684,962,0.050976008728270635
sat_25,25th Percentile SAT,1.9352136960587178,0.6849819833011889,430,0.004725055322437832,0.8365767663871535,0.7313805945494114,425,0.2526931810485529
