outcome,label,coef_iv,se_iv,N_iv,pval_iv,coef_ste,se_ste,N_ste,pval_ste
alumni_ops_athletics,Alumni Athletic Operating Donations,8718.313667148523,17974.588235079395,288,0.6276511528835433,39375.46009899465,16689.335581081945,274,0.018308528844603128
alum_non_athl_ops,Alumni Nonathletic Operating Donations,39835.58484842934,44139.97735910923,288,0.36680027993778475,-22208.90773148619,49352.207116151505,274,0.6527043841627184
alumni_total_giving,Total Alumni Donations,-277467.33583599876,116926.9312141202,478,0.01764437502064542,-21580.31373357424,100005.45007602756,462,0.8291503704876952
vse_alum_giving_rate,Alumni Giving Rate,-0.00028324293368788315,0.0006620711082966057,495,0.6687869342660866,-0.0006540005623378071,0.0010332304449428658,479,0.5267553275603871
usnews_academic_rep_new,Academic Reputation,0.003567854130994564,0.002805511090226076,204,0.20346887606681707,0.0015733203213682719,0.0028257112011689837,197,0.5776727109174548
applicants,Applicants,82.51634014222739,83.7589490936259,215,0.32454329306085206,48.18215656984731,113.23607408256775,216,0.6704708889761278
acceptance_rate,Acceptance Rate,-0.07303333668838718,0.2512849655238046,335,0.7713270470116045,-0.07326000352203789,0.24959384757128164,321,0.7691271109068766
firsttime_outofstate,First-Time Out-of-State Enrollment,-3.5983191711553504,4.505616193264651,428,0.42450512713382116,-14.061607550666906,7.896614276265004,391,0.07495926856282323
first_time_instate,First-Time In-State Enrollment,19.589890496444664,9.255703501544742,428,0.034300524158747736,-2.392752330254184,11.729792996393998,391,0.8383618559588608
sat_25,25th Percentile SAT,1.8557560093572074,1.4345697564549813,151,0.19580444819772325,1.3465513255236743,1.4289876855691668,155,0.3460332551677292
