outcome,label,coef_iv,se_iv,N_iv,pval_iv,coef_ste,se_ste,N_ste,pval_ste
alumni_ops_athletics,Alumni Athletic Operating Donations,137011.96179104602,55681.03972729092,637,0.013868272967656692,110368.99404796564,67580.38393231524,374,0.10243717276036995
alum_non_athl_ops,Alumni Nonathletic Operating Donations,186766.38760381314,194949.63899467612,637,0.3380507738649712,216565.97242341444,104805.16992860763,374,0.0387938143624583
alumni_total_giving,Total Alumni Donations,521747.51996373874,371840.9791835262,1264,0.16057303590825844,266714.96634740615,331717.9375998925,787,0.421373045935026
vse_alum_giving_rate,Alumni Giving Rate,1.3970886662141607e-05,0.00065016637760165,1293,0.9828562390164086,0.0016051831698057505,0.0006911548392287606,810,0.02020789175467898
usnews_academic_rep_new,Academic Reputation,0.0038343800356761553,0.0019996792320386265,669,0.05517475146019479,0.002566189033791927,0.0025043008999130795,390,0.30549875052780484
applicants,Applicants,122.78994212534721,68.46505267874473,533,0.07289798054208685,39.97856933339936,93.32256955829881,320,0.6683663166204223
acceptance_rate,Acceptance Rate,-0.24387337770233875,0.18450105229409877,967,0.18623496274888485,-0.4644641338372359,0.21295151480060975,630,0.029177554045510888
firsttime_outofstate,First-Time Out-of-State Enrollment,-3.015956549137821,4.568100594071786,1038,0.5091119326514941,7.379614808110173,5.024256590221976,604,0.1418877607540612
first_time_instate,First-Time In-State Enrollment,14.332860234259105,8.035509702765946,1038,0.07447401286970456,28.2932474764931,8.663761051093168,604,0.001091937312489226
sat_25,25th Percentile SAT,1.9814223120267929,0.8709039024567127,430,0.02289794543819834,1.667765309325359,1.2205910962125712,251,0.17182639321882465
